16062073	GENODEF1BRB	Brandenburger Bank
16080000	DRESDEFF160	Commerzbank vormals Dresdner Bank
16091994	GENODEF1RN1	Volksbank Rathenow
17020086	HYVEDEMM471	UniCredit Bank - HypoVereinsbank
17040000	COBADEFFXXX	Commerzbank
17052000	WELADED1GZE	Sparkasse Barnim
17052302	WELADED1UMX	Stadtsparkasse Schwedt
17054040	WELADED1MOL	Kreissparkasse Märkisch-Oderland
17055050	WELADED1LOS	Sparkasse Oder-Spree
17056060	WELADED1UMP	Sparkasse Uckermark
17062428	GENODEF1BKW	Raiffeisenbank-Volksbank Oder-Spree
17080000	DRESDEFF170	Commerzbank vormals Dresdner Bank
17092404	GENODEF1FW1	VR Bank Fürstenwalde Seelow Wriezen
18020086	HYVEDEMM472	UniCredit Bank - HypoVereinsbank
18040000	COBADEFFXXX	Commerzbank
18050000	WELADED1CBN	Sparkasse Spree-Neiße
18051000	WELADED1EES	Sparkasse Elbe-Elster
18055000	WELADED1OSL	Sparkasse Niederlausitz
18062678	GENODEF1FWA	VR Bank Lausitz
18062758	GENODEF1FOR	VR Bank Forst -alt-
18080000	DRESDEFF180	Commerzbank vormals Dresdner Bank
18092684	GENODEF1LN1	Spreewaldbank
18092744	GENODEF1SPM	Volksbank Spree-Neiße
20000000	MARKDEF1200	Bundesbank
20010020	PBNKDEFFXXX	Postbank Ndl der Deutsche Bank
20010424	AARBDE5W200	Aareal Bank ehem. Filiale Hamburg
20020200	ESSEDEFFHAM	Skandinaviska Enskilda Banken (publ) Hamburg Branch
20020500	JYBADEHHXXX	Jyske Bank Fil Hamburg
20020900	SIBSDEHHXXX	Signal Iduna Bauspar
20030000	HYVEDEMM300	UniCredit Bank - HypoVereinsbank
20030133	VGAGDEHHXXX	Ascory Bank
20030300	CHDBDEHHXXX	DONNER & REUSCHEL
20030301	CHDBDEHHXXX	Donner + Reuschel GF NL LUX
20030400	MCRDDEHHXXX	Marcard, Stein & Co Bankiers
20030600	SYBKDE22HAM	Sydbank Fil Hamburg
20030700	MEFIDEMM200	Merck Finck A Quintet Private Bank
20040000	COBADEHHXXX	Commerzbank
20040005	COBADEHHXXX	Commerzbank, Filiale Hamburg 2
20040020	COBADEFFXXX	Commerzbank, CC SP
20040040	COBADEFFXXX	Commerzbank GF RME
20040048	COBADEFFXXX	Commerzbank GF-H48
20040050	COBADEFFXXX	Commerzbank GF COC
20040060	COBADEFFXXX	Commerzbank Gf 260
20040061	COBADEFFXXX	Commerzbank Gf 261
20040062	COBADEFFXXX	Commerzbank CC
20040063	COBADEFFXXX	Commerzbank CC
20041111	COBADEHDXXX	Commerzbank - GF comdirect
20041133	COBADEHD001	Commerzbank - GF comdirect
20041144	COBADEHD044	Commerzbank - GF comdirect
20041155	COBADEHD055	Commerzbank - GF comdirect
20041166	COBADEHD066	Commerzbank - GF comdirect
20041177	COBADEHD077	Commerzbank - GF comdirect
20041188	COBADEHD088	Commerzbank - GF comdirect
20041199	COBADEHD099	Commerzbank - GF comdirect
20050550	HASPDEHHXXX	Hamburger Sparkasse
20060000	GENODEFF200	DZ BANK
20069111	GENODEF1NDR	Norderstedter Bank -alt-
20069125	GENODEF1KLK	Kaltenkirchener Bank -alt-
20069130	GENODEF1BBR	Raiffeisenbank -alt-
20069144	GENODEF1SST	Raiffeisenbank
20069177	GENODEF1GRS	Raiffeisenbank
20069232	GENODEF1STV	Raiffeisenbank -alt-
20069641	GENODEF1OWS	Raiffeisenbank Owschlag
20069780	GENODEF1AST	Volksbank Ahlerstedt
20069782	GENODEF1APE	Volksbank Geest
20069786	GENODEF1DRO	Volksbank Kehdingen Zndl. der Ostfriesischen Volksbank
20069800	GENODEF1HAA	Spar- und Kreditbank
20069812	GENODEF1FRB	Volksbank Fredenbeck
20069815	GENODEF1815	Volksbank
20069861	GENODEF1RRZ	Raiffeisenbank -alt-
20069882	GENODEF1RLT	Raiffeisenbank Travemünde -alt-
20069965	GENODEF1WIM	Volksbank Winsener Marsch
20069989	GENODEF1WUL	Volksbank Wulfsen -alt-
20070000	DEUTDEHHXXX	Deutsche Bank
20070024	DEUTDEDBHAM	Deutsche Bank
20070404	DEUTDEHHP34	Postbank/DSL Ndl der Deutsche Bank
20070424	DEUTDEDBP34	Postbank/DSL Ndl der Deutsche Bank
20080000	DRESDEFF200	Commerzbank vormals Dresdner Bank
20080055	DRESDEFF207	Commerzbank vormals Dresdner Bank Zw 55
20080057	DRESDEFF208	Commerzbank vormals Dresdner Bank Gf ZW 57
20080085	DRESDEFFI56	Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 2
20080086	DRESDEFFI63	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 3
20080087	DRESDEFFI64	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4
20080088	DRESDEFFI74	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5
20080089	DRESDEFFI75	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6
20080091	DRESDEFFJ33	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 7
20080092	DRESDEFFJ34	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 8
20080093	DRESDEFFJ35	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 9
20080094	DRESDEFFJ36	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 10
20080095	DRESDEFFJ37	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 11
20089200	DRESDEFFI06	Commerzbank vormals Dresdner Bank ITGK
20090400	DGHYDEH1XXX	DZ HYP
20090700	EDEKDEHHXXX	Edekabank
20090745	EDEKDEHHXXX	EBANK Gf Cash
20090900	GENODEF1P08	PSD Bank Nord
20110022	PBNKDEFFXXX	Postbank Ndl der Deutsche Bank
20110700	BOTKDEH1XXX	MUFG Bank (Europe) Germany Branch
20110800	BKCHDEFFHMB	Bank of China Fil Hamburg
20120000	BEGODEHHXXX	Joh. Berenberg, Gossler & Co
20120100	WBWCDEHHXXX	M.M. Warburg & CO
20120200	BHFBDEFF200	BHF-BANK
20120400	DRBKDEH1XXX	start:bausparkasse
20120520	BFSWDE33HAN	SozialBank
20120600	GOGODEH1XXX	Goyer & Göppel
20120700	HSTBDEHHXXX	Hanseatic Bank
20130400	GREBDEH1XXX	GRENKE BANK
20130600	BARCDEHAXXX	BAWAG Niederlassung Deutschland
20133300	SCFBDE33XXX	Openbank Deutschland
20190003	GENODEF1HH2	Hamburger Volksbank
20190077	GENODEF1HH2	Hamburger Volksbank (Gf GAA)
20190109	GENODEF1HH4	Volksbank Raiffeisenbank
20190206	GENODEF1HH1	Volksbank Hamburg Ost-West -alt-
20190301	GENODEF1HH3	Vierländer Volksbank -alt-
20190800	GENODEF1MKB	MKB Mittelstandskreditbank
20210200	MELIDEHHXXX	Bank Melli Iran
20210300	SIHRDEH1HAM	Bank Saderat Iran
20220100	DNBADEHXXXX	DNB Bank ASA - Filiale Deutschland
20220800	SXPYDEHHXXX	Banking Circle - German Branch
20230300	OSCBDEH1XXX	Otto M. Schröder Bank
20230600	ISBKDEFXXXX	Isbank Berlin
20230800	MHSBDEHBXXX	Sutor Bank
20310300	EIHBDEHHXXX	Europäisch-Iranische Handelsbank
20690500	GENODEF1S11	Sparda-Bank Hamburg
20730001	HYVEDEMME01	UniCredit Bank - HVB Settlement EAC01
20730002	HYVEDEMME02	UniCredit Bank - HVB Settlement EAC02
20730003	HYVEDEMME03	UniCredit Bank - HVB Settlement EAC03
20730004	HYVEDEMME04	UniCredit Bank - HVB Settlement EAC04
20730005	HYVEDEMME05	UniCredit Bank - HVB Settlement EAC05
20730006	HYVEDEMME06	UniCredit Bank - HVB Settlement EAC06
20730007	HYVEDEMME07	UniCredit Bank - HVB Settlement EAC07
20730008	HYVEDEMME08	UniCredit Bank - HVB Settlement EAC08
20730009	HYVEDEMME09	UniCredit Bank - HVB Settlement EAC09
20730010	HYVEDEMME10	UniCredit Bank - HVB Settlement EAC10
20730011	HYVEDEMME11	UniCredit Bank - HVB Settlement EAC11
20730012	HYVEDEMME12	UniCredit Bank - HVB Settlement EAC12
20730013	HYVEDEMME13	UniCredit Bank - HVB Settlement EAC13
20730014	HYVEDEMME14	UniCredit Bank - HVB Settlement EAC14
20730015	HYVEDEMME15	UniCredit Bank - HVB Settlement EAC15
20730016	HYVEDEMME16	UniCredit Bank - HVB Settlement EAC16
20730017	HYVEDEMME17	UniCredit Bank - HVB Settlement EAC17
20730018	HYVEDEMME18	UniCredit Bank - HVB Settlement EAC18
20730019	HYVEDEMME19	UniCredit Bank - HVB Settlement EAC19
20730020	HYVEDEMME20	UniCredit Bank - HVB Settlement EAC20
20730021	HYVEDEMME21	UniCredit Bank - HVB Settlement EAC21
20730022	HYVEDEMME22	UniCredit Bank - HVB Settlement EAC22
20730023	HYVEDEMME23	UniCredit Bank - HVB Settlement EAC23
20730024	HYVEDEMME24	UniCredit Bank - HVB Settlement EAC24
